"CODIGO";"DIGITO";"DESCRICAO";"NIVEL_1";"NIVEL_2";"NIVEL_3";"EMBALAGEM_FORNECEDOR";"EMBALAGEM_COMPRA";"CONVERSAO_COMPRA_ARMAZENAGEM";"UNIDADE_ESTOQUE";"EMBALAGEM_VENDA_0";"EMBALAGEM_VENDA_1";"EMBALAGEM_VENDA_2";"CD_VOLTAGEM"
"404557";"2";"VITRINE VER 1P 284L CERVEJA VCFCM220";"N - INDUSTRIAL E NEGOCIOS";"NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL";"NBC - CONSERVADORES E FREEZERS";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"404587";"4";"PORCEL.A 82X82 EPO.CARRA.BC RT2,00M2";"C - PISOS E REVESTIMENTOS";"CA - CERAMICOS E PORCELANATOS";"CAB - PORCELANATOS";"PL-72-M2";"M2-1-M2";"1,000000";"M2";"M2-1-M2";"EB-70-M2";"EB-140-M2";"0"
"404591";"2";"PORCEL.A 26X106 ESM.OLD WES.RT2,00M2";"C - PISOS E REVESTIMENTOS";"CA - CERAMICOS E PORCELANATOS";"CAB - PORCELANATOS";"PL-120-M2";"M2-1-M2";"1,000000";"M2";"M2-1-M2";"EB-70-M2";"EB-140-M2";"0"
"404594";"7";"PORCEL.A 26X106 ESM.NATIVE RT 2,00M2";"C - PISOS E REVESTIMENTOS";"CA - CERAMICOS E PORCELANATOS";"CAB - PORCELANATOS";"PL-120-M2";"M2-1-M2";"1,000000";"M2";"M2-1-M2";"EB-70-M2";"EB-140-M2";"0"
"405098";"3";"CAPA ALM.43X43 LISA FELPUDA  CAP-F72";"V - DECORACAO";"VA - OBJETOS PARA SALA E QUARTO";"VAT - CAPAS PARA ALMOFADAS";"CX-100-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"405731";"7";"REVEST.A 33X62 SPICE FOG.HD RT1,84M2";"C - PISOS E REVESTIMENTOS";"CA - CERAMICOS E PORCELANATOS";"CAC - REVESTIMENTOS";"PL-73,6-M2";"M2-1-M2";"1,000000";"M2";"M2-1-M2";"EB-70-M2";"EB-140-M2";"0"
"405771";"6";"PISO FELP.ROYAL 45X70        BG 7110";"K - CAMA, MESA E BANHO";"KC - BANHO";"KCC - TOALHAS DE PISO";"CX-42-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-20-UN";"EB-100-UN";"0"
"405773";"2";"PISO FELP.ROYAL 45X70        VD 7117";"K - CAMA, MESA E BANHO";"KC - BANHO";"KCC - TOALHAS DE PISO";"CX-42-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-20-UN";"EB-100-UN";"0"
"406511";"5";"VENT.TET.3P 2L         FENIX BR M127";"D - ELETROS";"DA - AR E VENTILACAO";"DAC - VENTILADORES DE TETO";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"1"
"406512";"3";"VENT.TET.3P 2L         FENIX BR M220";"D - ELETROS";"DA - AR E VENTILACAO";"DAC - VENTILADORES DE TETO";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"406818";"1";"LUMI.LED SOLAR P/ POSTE SENS.2.3W BR";"I - ILUMINACAO";"IC - COMERCIAL";"ICA - LUMINARIAS";"CX-6-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"406820";"3";"NICHO 0.25X0.09 MDF KIT 3PC       BR";"O - MOVEIS";"OC - QUARTO";"OCC - NICHOS E PRATELEIRAS";"CX-6-JG";"CX-1-CX";"6,000000";"JG";"JG-1-JG";"EB-10-JG";"EB-50-JG";"0"
"406821";"1";"NICHO 0.25X0.09 MDF KIT 3PC       PT";"O - MOVEIS";"OC - QUARTO";"OCC - NICHOS E PRATELEIRAS";"CX-6-JG";"CX-1-CX";"6,000000";"JG";"JG-1-JG";"EB-10-JG";"EB-50-JG";"0"
"406927";"7";"LUMI.LED EMB.BALIZ.  1W SOLO AM MBIV";"I - ILUMINACAO";"ID - JARDIM";"IDD - BALIZADORES PARA JARDIM";"CX-50-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"3"
"406960";"9";"PRATELEIRA P/QUADRO MDF 45CM 187  BR";"O - MOVEIS";"OC - QUARTO";"OCC - NICHOS E PRATELEIRAS";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"406970";"6";"PRATELEIRA P/QUADRO MDF 90CM 064   PT";"O - MOVEIS";"OC - QUARTO";"OCC - NICHOS E PRATELEIRAS";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"407150";"6";"PORTA-BOLO IX 32CM C/TP     1525/499";"B - UTILIDADES DOMESTICAS";"BH - ACESSORIOS PARA SERVIR - PRESENTES";"BHF - PORTA ALIMENTOS - PRESENTES";"CX-4-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"407221";"9";"GRILL AUT.MULTI      OGRL210 IX M127";"D - ELETROS";"DE - ELETROPORTATEIS PARA COZINHA";"DED - SANDUICHEIRAS, GRILLS E CHURRASQUEIRAS";"CX-4-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"1"
"407574";"9";"CESTA ORG. PLS 19X13CM        BR 822";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDF - CESTAS ORGANIZADORAS";"CX-24-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"407575";"7";"CESTA ORG. PLS 24X19CM        BR 823";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDF - CESTAS ORGANIZADORAS";"CX-18-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
