CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
465695,-0.5724591125943924,194.0,PAPELEIRA SUSPENSA 2ROLOS CR    0200,U - METAIS E ACESSORIOS,237509.47643939394
487031,-0.5690122407697935,96.0,COLCHA CASAL+P.TRAV 3PC PARIS SORT22,"K - CAMA, MESA E BANHO",251924.24687499998
1007,-0.5676545172303488,39.0,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,14310.7755
479952,-0.5673839396592393,72.0,JARRA VID.1.8L               1110862,B - UTILIDADES DOMESTICAS,27917.2215
470029,-0.5664082095945795,112.0,GARRAFA TERM.1L ROLHA    MR 25100546,B - UTILIDADES DOMESTICAS,53808.93
453456,-0.5650993710914103,28.0,FERRO PASSAR VAP. F-53    AZ/PT M127,D - ELETROS,20406.75
463479,-0.5632502404695776,161.0,CAIXA TERMICA PLS 28.0L VD/MR 072825,"L - INFANTIL, LAZER E PETS",134932.56
399348,-0.5628596624237318,204.0,ORGANIZADOR 32X20 P/ARMARIO     0075,B - UTILIDADES DOMESTICAS,205235.2575
478377,-0.5624750696654879,45.0,COLCHA KING+P.TRAV 3PC BASIC     CAR,"K - CAMA, MESA E BANHO",38331.4155
419818,-0.5612784145379727,53.0,TORNEIRA PIA COZ. HYDRAMOT. 1167  CZ,U - METAIS E ACESSORIOS,157822.94964545456
249011,-0.5593823343745518,81.0,FECH.IN RM IXE 882/90         VICTO.,"G - PORTAS, JANELAS E FECHADURAS",134345.631
399351,-0.5584902103014588,199.0,ORGANIZADOR 22X20 P/ARMARIO     0076,B - UTILIDADES DOMESTICAS,95449.13
249013,-0.5584604010568023,61.0,FECH.WC RM IXE 882/90         VICTO.,"G - PORTAS, JANELAS E FECHADURAS",109404.183
479999,-0.5582251121565981,85.0,FRIGIDEIRA ANTIAD.03PC     VM 025337,B - UTILIDADES DOMESTICAS,76950.678
419820,-0.5558642181243003,57.0,TORNEIRA PIA PARE.PT HYDRAMOTION1168,U - METAIS E ACESSORIOS,464862.8120175439
433919,-0.5552316540793542,122.0,AP.JANTAR CER.16PC LOUROS     107403,B - UTILIDADES DOMESTICAS,295782.0345
483877,-0.5548706984185068,33.0,ENF ARV PORTA RETRATO 12CM  31379009,T - ARTIGOS DE EPOCA,13975.045
469886,-0.5548627278499457,114.0,CORTINA 420X250 HAVINI         AR 01,V - DECORACAO,155166.9
488929,-0.5532617512419225,66.0,FERRO PASSAR SEC.  HD1172/80 CZ M220,D - ELETROS,226688.41480105635
403647,-0.5531470457535367,117.0,PANELA PRESSAO ANTIAD.4.5L   CZ 6776,B - UTILIDADES DOMESTICAS,580358.10051256
408802,-0.5530640156981449,199.0,ORGANIZADOR 22X20 P/ARMARIO    0080,B - UTILIDADES DOMESTICAS,52448.445
423167,-0.5494464593258048,32.0,FRITAD.ELET.3.5L  FAMILY   AF30 M127,D - ELETROS,111575.55675
417899,-0.5486352776172954,199.0,PAPELEIRA SUSPENSA 2ROLOS PT    0076,U - METAIS E ACESSORIOS,373685.26238636364
464238,-0.5459122323586578,70.0,TOALHA RST VERONA            VD 3429,"K - CAMA, MESA E BANHO",5407.8150000000005
387850,-0.5451702537619753,17.0,ESTANTE 0.60X1.80 MDP 4P          RT,O - MOVEIS,14994.315
435656,-0.5404244469330924,58.0,"REVEST.A 32,5X59 ESTRELA BR AC1,53M2",C - PISOS E REVESTIMENTOS,118723.78791
467654,-0.5404145962998503,143.0,AP.JANTAR CER.12PC GRECIA     137391,B - UTILIDADES DOMESTICAS,299544.64050000004
249010,-0.540011369942239,96.0,FECH.EX RM IXE 882/90         VICTO.,"G - PORTAS, JANELAS E FECHADURAS",194329.968
438085,-0.5369580633684984,49.0,FACA MESA (AV) IX/PLS BAMBU     1196,B - UTILIDADES DOMESTICAS,1033.074
445896,-0.5359037677681686,69.0,TRILHO LED KIT 3 SPOT NE  9W PT MBIV,I - ILUMINACAO,97457.11499999999
465828,-0.5357527593050526,15.0,LIQUID.INDL 10L  BAIXA ROT.LS10 MBIV,N - INDUSTRIAL E NEGOCIOS,37442.16
399326,-0.5346201909485069,210.0,SUPORTE XICARA CAFE          BR 0077,B - UTILIDADES DOMESTICAS,102728.99
429418,-0.5313676125048085,71.0,FRIGIDEIRA ANTIAD.22 FUNDA    305358,B - UTILIDADES DOMESTICAS,14853.972000000002
462856,-0.5303238376617476,188.0,DISPOSIT.PROTECAO DR2P      40A/30MA,E - MATERIAIS ELETRICOS,589532.755
460257,-0.5294407691488212,39.0,TACA AGUA/VINHO CRISTAL.500ML   2845,B - UTILIDADES DOMESTICAS,7397.46
431662,-0.5289579476016986,11.0,"PORCEL.A 60X60 EBR.MISSOURI GR2,15M2",C - PISOS E REVESTIMENTOS,7586.4642
479890,-0.528847122241432,109.0,FAQUEIRO IX 36PC PACIFIC    66962934,B - UTILIDADES DOMESTICAS,221629.8735
367905,-0.5288330725281872,186.0,COOKTOP 5B GAS VID.     6985 PT MBIV,D - ELETROS,831813.6015
474701,-0.5279838491905997,41.0,PLAFON LED RED.     18W BR X001 220V,I - ILUMINACAO,28013.2125
419816,-0.5271854968384241,75.0,TORNEIRA PIA COZ. HYDRAMOT. 1167  VM,U - METAIS E ACESSORIOS,80220.0
232087,-0.5236607639165326,33.0,CHAPA CHURRASQUEIRA GAS  65CM    C65,N - INDUSTRIAL E NEGOCIOS,41684.895000000004
466583,-0.5231141949216392,108.0,COLCHA SOLTE+P.TRAV 2PC PARIS SORT16,"K - CAMA, MESA E BANHO",49637.07
481640,-0.5217729298700168,47.0,FILTRO LINHA  5TOM    DPS PT10A MBIV,E - MATERIAIS ELETRICOS,22226.4
461592,-0.5210342907059378,107.0,BISTEQUEIRA AL/CER.28CM  PT 4813/353,B - UTILIDADES DOMESTICAS,75328.89
464322,-0.519151932567108,109.0,PANELA JG ANTIAD.07PC    TC 7135/400,B - UTILIDADES DOMESTICAS,185957.4675
463717,-0.5173393084138938,18.0,CAPACETE  P/MOT. RAZOR SOL.    PT 62,A - AUTOMOTIVO,10485.195
181513,-0.5167664003582559,15.0,BACIA P/CX.M.CARLO P808   EB95 EBANO,W - LOUCAS E PIAS,13065.990000000002
474293,-0.5165020296117009,128.0,TRILHO LED KIT 3 SPOT NE  5W BR MBIV,I - ILUMINACAO,194118.036
471329,-0.51303253306054,16.0,XICARA CAFE PORC.75ML C/P      01298,B - UTILIDADES DOMESTICAS,1546.61325
431542,-0.5128643714457208,102.0,BANCO MDF 1.30 AURORA          NT/PT,O - MOVEIS,97409.41875
468900,-0.5126193567062673,114.0,TOALHA BNH LUMINA    EUCALIPTO 40239,"K - CAMA, MESA E BANHO",101250.88
429647,-0.511700791446005,39.0,PASSAD.VERT.VAPOR  GCSTES100 PT M127,D - ELETROS,52705.705500000004
467615,-0.5078423117070333,76.0,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,129854.928
483560,-0.5070371184647259,53.0,CORTINA 420X250 RUSTICA FEN   LNH/TT,V - DECORACAO,71602.96500000001
419817,-0.5070193198983918,53.0,TORNEIRA PIA COZ. HYDRAMOTION1167 PT,U - METAIS E ACESSORIOS,179905.75735576925
