COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
4,12901,0.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Recife,PE
5,12901,1.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Aracaju,SE
6,12901,0.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Joao Pessoa,PB
7,12901,0.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Natal,RN
8,12901,10.0,4.0,0.005479452054794521,1825.0,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Caruaru,PE
9,12901,0.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Salvador,BA
92,12901,0.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Cabo De Santo Agostinho,PE
93,12901,0.0,0.0,0.0,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Alhandra,PB
1,133332,1.0,6.0,0.00821917808219178,121.66666666666669,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Garanhuns,PE
2,133332,1.0,4.0,0.005479452054794521,182.5,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Recife,PE
3,133332,2.0,2.0,0.0027397260273972603,730.0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Salvador,BA
4,133332,2.0,7.0,0.009589041095890411,208.57142857142856,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Recife,PE
5,133332,0.0,2.0,0.0027397260273972603,0.0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Aracaju,SE
6,133332,7.0,5.0,0.00684931506849315,1022.0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Joao Pessoa,PB
