COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
93,467963,0.0,728.0,0.9972602739726028,0.0,COND.SPLIT 9000 COND. 38AGVC INV.157,D - ELETROS,Alhandra,PB
93,467966,0.0,103.0,0.1410958904109589,0.0,COND.SPLIT 18000 EVAP.42AGVC INV.159,D - ELETROS,Alhandra,PB
93,467967,0.0,103.0,0.1410958904109589,0.0,COND.SPLIT 18000 COND.38AGVC INV.159,D - ELETROS,Alhandra,PB
9,467984,0.0,172.0,0.2356164383561644,0.0,PANO LIMPEZA MULTIUSO 5UN     BT2077,B - UTILIDADES DOMESTICAS,Salvador,BA
5,469022,0.0,60.0,0.0821917808219178,0.0,POTE MANTIMENTO VID. 500ML     29183,B - UTILIDADES DOMESTICAS,Aracaju,SE
9,468902,0.0,60.0,0.0821917808219178,0.0,TOALHA BNH GRACE          BRANCO 001,"K - CAMA, MESA E BANHO",Salvador,BA
9,468909,0.0,65.0,0.08904109589041095,0.0,TOALHA RST LUMINA          IVORY 112,"K - CAMA, MESA E BANHO",Salvador,BA
6,468910,0.0,103.0,0.1410958904109589,0.0,TOALHA RST LUMINA    EUCALIPTO 40239,"K - CAMA, MESA E BANHO",Joao Pessoa,PB
9,468910,0.0,69.0,0.09452054794520548,0.0,TOALHA RST LUMINA    EUCALIPTO 40239,"K - CAMA, MESA E BANHO",Salvador,BA
2,46898,0.0,57.0,0.07808219178082192,0.0,CADEIRA PRAIA PLS GUAR.  BR 92051010,"L - INFANTIL, LAZER E PETS",Recife,PE
3,46898,0.0,48.0,0.06575342465753424,0.0,CADEIRA PRAIA PLS GUAR.  BR 92051010,"L - INFANTIL, LAZER E PETS",Salvador,BA
4,46898,0.0,50.0,0.0684931506849315,0.0,CADEIRA PRAIA PLS GUAR.  BR 92051010,"L - INFANTIL, LAZER E PETS",Recife,PE
6,46898,0.0,65.0,0.08904109589041095,0.0,CADEIRA PRAIA PLS GUAR.  BR 92051010,"L - INFANTIL, LAZER E PETS",Joao Pessoa,PB
2,469021,0.0,84.0,0.11506849315068493,0.0,POTE MANTIMENTO VID. 400ML     28595,B - UTILIDADES DOMESTICAS,Recife,PE
3,469022,0.0,71.0,0.09726027397260274,0.0,POTE MANTIMENTO VID. 500ML     29183,B - UTILIDADES DOMESTICAS,Salvador,BA
4,468902,0.0,85.0,0.11643835616438356,0.0,TOALHA BNH GRACE          BRANCO 001,"K - CAMA, MESA E BANHO",Recife,PE
