CODIGO,DESCRICAO,NIVEL_1,estoque_parado_total,lojas_com_estoque_parado,receita,qtd_vendida
335231,XICARA CER PORC.65ML C/P 12PC  20096,B - UTILIDADES DOMESTICAS,20.0,1,9746.205,114.0
298476,BACIA SNT.AZALEA PLUS      9130 BR01,W - LOUCAS E PIAS,20.0,4,60771.58500000001,130.0
459368,INT.ALAVANCA ON/OFF HAST. LONGA 250W,E - MATERIAIS ELETRICOS,20.0,4,1375.92,104.0
464521,CUBA LOC.APOIO RED.    D1       BEGE,W - LOUCAS E PIAS,20.0,5,39810.225000000006,82.0
447498,EXTRATORA ASPIR.   4/20 CLASSIC  220,M - MAQUINAS E MOTORES,20.0,9,34648.740000000005,17.0
444086,TAMPA P/ CAIXA DE AR COND 56X76   BR,D - ELETROS,20.0,2,40043.115,205.0
399361,SUPORTE TACA SUSPENSO FIXO   BR 0004,B - UTILIDADES DOMESTICAS,20.0,3,6611.430000000001,94.0
443789,"TINT.ACR.SELPIN.GES FC  3,6L BR.NEVE",S - TINTAS E QUIMICOS,20.0,1,233589.51,2347.0
443569,ARMARIO AEREO CANTO 0.93         FRJ,O - MOVEIS,19.0,5,61862.535,116.0
401648,REFRIG. 2P 371L FF     DFX41 PR M127,D - ELETROS,19.0,3,268474.248,84.0
202149,CUBA LOC.APOIO 35CM RED.R1      PT02,W - LOUCAS E PIAS,19.0,4,40461.75,101.0
412046,FOGAO INDL.4B MIS FOR BP BR4BF    GF,N - INDUSTRIAL E NEGOCIOS,19.0,4,108043.4775,40.0
184264,CX.ACOPL UNIVER.CD01F  DUA.EBAN EB95,W - LOUCAS E PIAS,19.0,8,21707.91,28.0
258508,FECH.EX EB CR  1201             SOFT,"G - PORTAS, JANELAS E FECHADURAS",19.0,3,16684.710000000003,188.0
242267,ACAB.REGIS TAM-1  CR GIOIA   1/2-3/4,U - METAIS E ACESSORIOS,19.0,1,149174.907,1638.0
