CODIGO,preco_medio,preco_desvio,preco_min,preco_max,qtd_lojas,amplitude_pct,cv_pct,DESCRICAO,NIVEL_1,receita_total,tipo_recomendacao
455219,7517.293636363636,7718.876577670837,3694.95,23098.95,11,258.12,102.68,REFRIG. 2P 260L DF     DC35A BR M127,D - ELETROS,59341.905000000006,Padronizar preco entre lojas (alta dispersao)
470854,4377.211363636364,3936.754632196481,1993.95,10500.0,11,194.33,89.94,COND.SPLIT 18000 EVAP.AR18CV INV.172,D - ELETROS,594046.589075,Padronizar preco entre lojas (alta dispersao)
371011,8.484,3.9180620209486223,7.245,19.635,10,146.04,46.18,SPOT LED EMB.ABS QD   3W     BR MBIV,I - ILUMINACAO,44117.9235,Padronizar preco entre lojas (alta dispersao)
367905,851.3495454545456,302.8573719216237,743.295,1763.895,11,119.88,35.57,COOKTOP 5B GAS VID.     6985 PT MBIV,D - ELETROS,831813.6015,Padronizar preco entre lojas (alta dispersao)
275674,15.253636363636362,5.3534846786504815,13.6395,31.395,11,116.4,35.1,TIGELA CER.CEREAL 600ML AZ E01B-0824,B - UTILIDADES DOMESTICAS,127874.61839164337,Padronizar preco entre lojas (alta dispersao)
275675,16.790454545454544,7.220680526981322,13.545,31.395,11,106.31,43.0,TIGELA CER.CEREAL 600ML AM E01B-0654,B - UTILIDADES DOMESTICAS,139411.81382723685,Padronizar preco entre lojas (alta dispersao)
432402,13.657636363636364,5.163284846349798,10.4895,24.045,11,99.25,37.81,CANECA CER.280ML DALAS     RS 101416,B - UTILIDADES DOMESTICAS,41924.9775,Padronizar preco entre lojas (alta dispersao)
403409,115.71,30.35551432606604,80.745,188.895,10,93.47,26.23,FITA LED 5M  IP20 5W/M   IR70 AM 12V,I - ILUMINACAO,241893.2355,Padronizar preco entre lojas (alta dispersao)
457652,41.895,12.274974541725127,34.545,73.395,10,92.73,29.3,SPOT LED TRILHO PT  12W      BR MBIV,I - ILUMINACAO,43904.7,Padronizar preco entre lojas (alta dispersao)
487786,6290.359090909091,1712.7351928739863,5773.95,11454.45,11,90.3,27.23,TV LED 55 OLED SMT 4K    OLED55C4PSA,R - ELETRONICOS,1015279.524,Padronizar preco entre lojas (alta dispersao)
390158,153.405,47.6689206926274,104.895,238.245,10,86.93,31.07,POSTE LED JARDIM 30CM 6W    AM 18433,I - ILUMINACAO,101581.2,Padronizar preco entre lojas (alta dispersao)
401648,4824.263181818182,1085.471476323244,1804.95,5941.95,11,85.75,22.5,REFRIG. 2P 371L FF     DFX41 PR M127,D - ELETROS,268474.248,Padronizar preco entre lojas (alta dispersao)
395200,151.01100000000002,45.19170399531313,83.895,209.895,10,83.44,29.93,LUSTRE ACO/VID.RED.      CR 1L  PAX2,I - ILUMINACAO,145660.3575,Padronizar preco entre lojas (alta dispersao)
171182,3172.995,754.8178257036593,925.995,3527.895,11,82.0,23.79,REFRIG. 1P 261L DSECO BR  CRA30*M127,D - ELETROS,284752.7235,Padronizar preco entre lojas (alta dispersao)
461592,244.66909090909093,88.54300576042644,120.645,319.095,11,81.11,36.19,BISTEQUEIRA AL/CER.28CM  PT 4813/353,B - UTILIDADES DOMESTICAS,75328.89,Padronizar preco entre lojas (alta dispersao)
396527,9.093,3.023076247797928,6.3,13.545,10,79.68,33.25,TOM.MOD.1M 2P+T 10A      BR 57115030,E - MATERIAIS ELETRICOS,128091.709375,Padronizar preco entre lojas (alta dispersao)
447055,88.1055,24.99943204354851,62.895,131.145,10,77.46,28.37,SPOT EMB. PLS  PAR20  2L BR  RECUADO,I - ILUMINACAO,65635.815,Padronizar preco entre lojas (alta dispersao)
439683,19.36772727272728,4.156823525022659,16.695,31.395,11,75.9,21.46,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,628538.3457198434,Padronizar preco entre lojas (alta dispersao)
458288,233.205,63.33317456120448,157.395,330.645,10,74.29,27.16,TRILHO LED KIT 3 SPOT AM  9W BR MBIV,I - ILUMINACAO,99664.635,Padronizar preco entre lojas (alta dispersao)
445896,260.045625,58.67096388440367,198.45,384.195,8,71.43,22.56,TRILHO LED KIT 3 SPOT NE  9W PT MBIV,I - ILUMINACAO,97457.115,Padronizar preco entre lojas (alta dispersao)
