CODIGO,preco_medio,preco_desvio,preco_min,preco_max,qtd_lojas,amplitude_pct,cv_pct,DESCRICAO,NIVEL_1,receita_total
477352,123.89999999999999,6.616666456759019,103.95,125.895,11,17.71,5.34,TOALHA JG 2PC GRECIA CINTA   BR 1011,"K - CAMA, MESA E BANHO",328174.6642045455
477354,123.89999999999999,6.616666456759019,103.95,125.895,11,17.71,5.34,TOALHA JG 2PC GRECIA CINTA   RS 1997,"K - CAMA, MESA E BANHO",163223.72850000003
260660,89.565,7.460831052905569,83.895,99.645,10,17.58,8.33,DUCHA GORDUC.4T   5450W C/B     M127,U - METAIS E ACESSORIOS,321794.1943276899
343018,59.745000000000005,4.2,52.395,62.895,10,17.57,7.03,"CER.A 10X10 ACETI.10040 TL P2 1,44M2",C - PISOS E REVESTIMENTOS,154174.26276
446570,539.1177272727273,35.61764565237548,461.895,556.395,11,17.53,6.61,RACK TV 1.20X0.69 PARATY      CV/OFF,O - MOVEIS,82907.055
467962,2516.0768181818185,196.39619048332796,2215.395,2656.395,11,17.53,7.81,COND.SPLIT 9000 EVAP.42AGVC  INV.157,D - ELETROS,892462.1374682692
421083,107.982,5.571533900103271,103.95,122.85,10,17.5,5.16,"CER.A 80X80 POL. CANTABR.AZ   1,90M2",C - PISOS E REVESTIMENTOS,87591.3129
448681,60.031363636363636,4.904543348217595,52.395,62.895,11,17.49,8.17,"PORCEL.A 58X58 ESM.PTG58580R  2,03M2",C - PISOS E REVESTIMENTOS,324471.16842
443789,102.27000000000001,4.9311509812618795,94.395,112.245,10,17.45,4.82,"TINT.ACR.SELPIN.GES FC  3,6L BR.NEVE",S - TINTAS E QUIMICOS,233589.51
479559,120.75,7.341661937191061,103.95,124.95,10,17.39,6.08,"REVEST.A 45X90 RIPA NERO      2,00M2",C - PISOS E REVESTIMENTOS,212561.328
446642,181.65,10.143963722332607,166.95,198.45,10,17.34,5.58,"PORCEL.A 90X90 ESM.ISEO MF AC 1,63M2",C - PISOS E REVESTIMENTOS,117601.10145
434289,24.235909090909093,2.1933784650417927,21.945,26.145,11,17.33,9.05,PISO FELP. ROYAL 45X70       CZ 7221,"K - CAMA, MESA E BANHO",89218.39115
467351,115.2040909090909,7.510519894848099,104.895,124.845,11,17.32,6.52,ARARA ROUPEIRO MET. 1.34     PT 0013,O - MOVEIS,49857.78
431654,54.6859090909091,2.8492822062598666,46.095,55.545,11,17.28,5.21,TAPETE BANH.TEC.050X070 DALLAS SORT2,U - METAIS E ACESSORIOS,146680.11750000002
461149,4508.480454545454,232.6047320827176,4429.95,5207.895,11,17.26,5.16,REFRIG. 2P 400L FF BRM54JBA  BR M127,D - ELETROS,727150.6305
374675,311.42045454545456,14.077086071795076,287.595,341.145,11,17.2,4.52,PERSIANA ROLO 140X170  ZEBRA PL B109,V - DECORACAO,154424.55
480979,116.6235,5.939501031231501,104.895,124.95,10,17.2,5.09,"PORCEL.A 100X100 ESM. AVE.B.AC2,00M2",C - PISOS E REVESTIMENTOS,404088.636
430087,231.58800000000002,14.982714707288537,208.95,248.745,10,17.18,6.47,"PORCEL.A 120X120 ESM.MUNAR.CI.1,44M2",C - PISOS E REVESTIMENTOS,74100.096
473437,127.77545454545454,6.840241024461589,114.45,136.395,11,17.17,5.35,"PORCEL.A 90X90 EPO.MONTREAL BG2,40M2",C - PISOS E REVESTIMENTOS,224276.9004
475775,122.395,8.573214099741124,104.895,125.895,6,17.16,7.0,"PORCEL.A 74X74 EPO.KHALI GRIS 1,62M2",C - PISOS E REVESTIMENTOS,72012.5154
356982,135.7755,8.801153475539442,119.595,142.695,10,17.01,6.48,"REVEST.A 30X90 CUBIC WHITE AC 1,62M2",C - PISOS E REVESTIMENTOS,81147.56580000001
167484,370.839,19.37020289000608,334.95,397.95,10,16.99,5.22,LAVAT.LOC.P/COL.FIT 52X43 66006 BR01,W - LOUCAS E PIAS,73343.2875
