CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
446041,"PORCEL.A 120X120 EPO.CARRAR.BR2,88M2",C - PISOS E REVESTIMENTOS,558.72,85598.28144,51,7
463535,"PORCEL.A 19,5X91,2 ESM.BAL.CAM1,07M2",C - PISOS E REVESTIMENTOS,1285.07,85412.930295,72,2
461378,COLCHA CASAL+P.TRAV 3PC JASMINE VD.O,"K - CAMA, MESA E BANHO",681.0,85390.872,444,9
353341,"REVEST.A 21X21 PAST.BRANCO BR 1,90M2",C - PISOS E REVESTIMENTOS,1425.0,85349.102475,123,8
455048,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,7273.0,85313.65297727272,941,8
467910,CANECA CAFE VID.90ML      06PC 39509,B - UTILIDADES DOMESTICAS,2501.0,85072.72200000001,1576,9
476715,TOALHA BNH VANILLA           AZ 1136,"K - CAMA, MESA E BANHO",1351.0,84300.93000000001,668,9
476717,TOALHA BNH VANILLA           RS 1665,"K - CAMA, MESA E BANHO",1353.0,84115.60500000001,662,9
467256,VENT.COL 40CM 3V VTX-40C  PT/AZ M220,D - ELETROS,343.0,84011.1115,91,7
478705,"PORCEL.A 58X58 ESM.BOHE.ANT.AC1,68M2",C - PISOS E REVESTIMENTOS,1881.6,83909.952,92,4
466026,PORTA-SHAMPOO BOX       CR    OR0224,U - METAIS E ACESSORIOS,604.0,83752.93500000001,514,9
450482,LUSTRE MET. ESPIRAL  5LP G9  DO 5319,I - ILUMINACAO,115.0,83750.541,102,9
446562,LUSTRE MAD.  OSLO      44CM VP80-NAT,I - ILUMINACAO,204.0,83645.94,166,9
436182,PANELA PRESSAO ANTIAD.3L   VM 097040,B - UTILIDADES DOMESTICAS,376.0,83558.9265,358,9
119959,ADAPTA.CX.ELET.AL    3/4   56251/052,E - MATERIAIS ELETRICOS,20696.0,83447.945,1429,9
429046,"PORCEL.A 58X58 EBR.BRISTOL BR 1,68M2",C - PISOS E REVESTIMENTOS,1532.16,83308.428,54,9
194112,CESTA ORG. PLS 30X39CM      BR 10818,B - UTILIDADES DOMESTICAS,2406.0,83261.745,947,9
404556,VITRINE VER 1P 284L CERVEJA VCFCM127,N - INDUSTRIAL E NEGOCIOS,14.0,83158.6875,14,4
446570,RACK TV 1.20X0.69 PARATY      CV/OFF,O - MOVEIS,191.0,82907.055,151,11
428235,"PORCEL.A 120X120 ESM.CALAC.ORO2,88M2",C - PISOS E REVESTIMENTOS,535.6800000000001,82610.96256000001,38,5
456594,REVITALIZADOR PLS INT. VINTEX   200G,A - AUTOMOTIVO,4224.0,82327.035,2515,9
459102,TOALHA JG 2PC FLORE. CINTA MAR MEDIT,"K - CAMA, MESA E BANHO",1447.0,82034.0265,763,9
435979,PROTETOR P/TRAV. 050X070 IMPERM. RIV,"K - CAMA, MESA E BANHO",3017.0,82028.576,845,9
446300,"PORCEL.A 90X90 EPO.VENATINO   1,60M2",C - PISOS E REVESTIMENTOS,643.2,81777.30960000001,19,6
459691,"REVEST.A 45X90 TROPICAL       2,00M2",C - PISOS E REVESTIMENTOS,812.0,81651.507,116,9
437520,PERSIANA ROLO 120X140 TRANSLUC 864BG,V - DECORACAO,447.0,81637.185,309,9
