CODIGO,DESCRICAO,NIVEL_1,demanda_projetada_2026,vendido_24_meses,venda_media_anual_historica,crescimento_pct_vs_media_historica,venda_media_diaria_2026,estoque_seguranca_30d,estoque_inicial_total_referencia,sugestao_compra_2026
459668,FORMA FRITAR OVO SILIC. CORACAO H337,B - UTILIDADES DOMESTICAS,227.92617443463564,815.0,407.5,-44.1,0.6244552724236593,18.733658172709777,1000.0,247.0
356982,"REVEST.A 30X90 CUBIC WHITE AC 1,62M2",C - PISOS E REVESTIMENTOS,227.68864494153271,649.62,324.81,-29.9,0.6238045066891307,18.71413520067392,315.9,246.0
177392,LUMI.JARDIM ESPETO PVC G.LAMP PAR20,I - ILUMINACAO,226.59998024791676,973.0,486.5,-53.4,0.6208218636929226,18.624655910787677,200.0,245.0
475315,ROUPAO ADUL. TEXTU. TAM.G   RS SUAVE,"K - CAMA, MESA E BANHO",226.41288194770567,356.0,178.0,27.2,0.6203092656101525,18.609277968304575,0.0,245.0
409654,LAMP.LED  FIL.P125 AB 4W AM E27 MBIV,I - ILUMINACAO,225.211538561144,485.0,242.5,-7.1,0.617017913866148,18.51053741598444,43.0,244.0
363394,TORNEIRA LAVA.MESA CR PRESS.   10075,U - METAIS E ACESSORIOS,225.20376448403226,317.0,158.5,42.1,0.6169966150247459,18.509898450742376,14.0,244.0
464893,TOALHA VISITA 30X45 ARTESANALLE   AM,"K - CAMA, MESA E BANHO",224.16169486493536,1099.0,549.5,-59.2,0.6141416297669462,18.424248893008386,155.0,243.0
470853,COND.SPLIT 12000 EVAP.AR12CV INV.171,D - ELETROS,223.60786435345696,702.0,351.0,-36.3,0.612624285899882,18.378728576996462,0.0,242.0
470857,COND.SPLIT 12000 COND.AR12CV INV.171,D - ELETROS,223.60786435345696,702.0,351.0,-36.3,0.612624285899882,18.378728576996462,0.0,242.0
477345,PISO FELP. BELIZE VD            3071,"K - CAMA, MESA E BANHO",221.31907644509536,366.0,183.0,20.9,0.6063536340961517,18.19060902288455,0.0,240.0
450470,MESA LAT. 0.45X0.30 MDF        BR/DO,O - MOVEIS,221.24242783532992,2495.0,1247.5,-82.3,0.6061436379050135,18.184309137150404,876.0,239.0
475559,TOALHA RST SOLARE            RS 3889,"K - CAMA, MESA E BANHO",220.7856391935147,950.0,475.0,-53.5,0.6048921621740129,18.146764865220387,0.0,239.0
