CODIGO,DESCRICAO,NIVEL_1,MES_NUM,demanda_projetada
6155,COLUNA SAVEIRO             0220 PR77,W - LOUCAS E PIAS,9,0.0
6155,COLUNA SAVEIRO             0220 PR77,W - LOUCAS E PIAS,10,0.0
6155,COLUNA SAVEIRO             0220 PR77,W - LOUCAS E PIAS,11,0.0
6155,COLUNA SAVEIRO             0220 PR77,W - LOUCAS E PIAS,12,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,1,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,2,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,3,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,4,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,5,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,6,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,7,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,8,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,9,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,10,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,11,0.0
6157,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,12,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,1,22.780093480812223
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,2,12.14663506442525
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,3,5.779566483034538
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,4,4.012668454103134
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,5,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,6,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,7,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,8,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,9,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,10,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,11,0.0
7219,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,12,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,1,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,2,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,3,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,4,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,5,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,6,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,7,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,8,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,9,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,10,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,11,0.0
8458,PERSIANA VINIL  080X125 PT,V - DECORACAO,12,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,1,1.355010672100477
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,2,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,3,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,4,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,5,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,6,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,7,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,8,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,9,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,10,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,11,0.0
8588,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,12,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,1,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,2,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,3,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,4,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,5,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,6,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,7,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,8,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,9,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,10,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,11,0.0
12437,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,12,0.0
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,1,0.9609393882428768
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,2,0.8211582565727638
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,3,0.7833920562881007
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,4,0.8917136181754709
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,5,0.9788071004645919
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,6,0.7202030238741037
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,7,0.6555834250879502
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,8,0.6640556435803101
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,9,0.47621881461986737
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,10,0.47502940623573336
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,11,0.4696780084324732
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,12,0.3867575261164971
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,1,0.7634030853826164
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,2,0.4806354055292489
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,3,0.437531693905604
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,4,0.31156865740033446
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,5,0.14344279822819456
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,6,0.029082022300288942
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,7,0.0
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,8,0.0
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,9,0.0
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,10,0.0
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,11,0.0
14539,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,12,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,1,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,2,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,3,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,4,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,5,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,6,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,7,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,8,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,9,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,10,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,11,0.0
14540,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,12,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,1,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,2,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,3,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,4,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,5,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,6,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,7,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,8,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,9,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,10,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,11,0.0
20801,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,12,0.0
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,1,25.75559927123072
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,2,28.788910819101883
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,3,24.463542997209316
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,4,25.66202799717035
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,5,31.77230354403278
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,6,22.859615446534402
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,7,18.401636758413904
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,8,19.605318343484164
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,9,10.89355477521099
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,10,19.290448201013163
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,11,13.542630293396257
22127,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,12,8.429116865901314
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,1,11.619752552681899
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,2,8.567805587553787
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,3,6.726143673411006
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,4,14.106256472358956
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,5,18.471695982044743
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,6,10.090993521915516
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,7,6.6224990628213085
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,8,9.721423884817627
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,9,12.609168898283668
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,10,15.501785577533106
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,11,6.927113574003768
22210,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,12,4.109835743613625
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,1,4.3662779601688015
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,2,3.297828067788657
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,3,2.652249136449602
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,4,5.699004111532502
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,5,7.646905188856073
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,6,4.281154411289056
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,7,2.879763818915783
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,8,4.333478112206709
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,9,5.762787790198941
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,10,7.265057470248347
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,11,3.329635699657634
22211,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,12,2.026451558207737
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,1,117.06113936799025
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,2,136.89788074712501
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,3,121.96893727580257
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,4,134.46195784614085
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,5,175.41331358198727
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,6,133.36420443121503
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,7,113.81002047432177
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,8,129.0096079536163
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,9,76.5808016140344
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,10,145.55410357344388
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,11,110.26964343232636
22271,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,12,74.52990814692323
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,1,1.0573843977659863
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,2,0.8014514447373838
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,3,0.9279441629422038
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,4,0.9247243676161002
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,5,0.7337483480651609
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,6,0.6233668258279595
26818,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,7,0.7569065154302334
