CODIGO,DESCRICAO,NIVEL_1,motivo,receita,qtd_vendida
445826,GARFO MESA IX JG 6PC            1825,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,2495.43,74.0
460945,COND.SPLIT 12000 EVAP.GWC12  INV.138,D - ELETROS,Receita irrisoria + estoque parado,2516.535,3.0
460489,COND.SPLIT 12000 COND 38TFQA Q/F 133,D - ELETROS,Receita irrisoria + estoque parado,2517.9,2.0
79325,"CUBA LOC.EMB.49X32,5 OVAL  7611 PR77",W - LOUCAS E PIAS,Receita irrisoria + estoque parado,2627.52,21.0
466708,P.ALGODAO/COTON.           AZ PAC700,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,2674.14,162.0
169185,COLUNA SUSP.FIT           66202 PG59,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,2747.325,8.0
457903,GARRAFA AGUA VID.1.0L C/T     PEIXES,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,2795.94,132.0
398169,ESPONJA GRILL DUPLA FACE       BT488,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,2801.7045,148.0
186579,COLUNA SUSP.FIT           66202 PT02,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,2879.835,9.0
422977,"PORCEL.A 16X120 ESM.ALVOR  ABS0,96M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,2942.3520000000003,20.16
412014,COLHER MESA IX/PLS BAMBU 6PC    7383,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,2954.175,90.0
434131,FILETE A 1X120 BEIGE BR          4UN,C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,2976.1725,68.0
460843,TEXTURA GRAFIAT.RISC.PLS  5KG  M.MAR,S - TINTAS E QUIMICOS,Receita irrisoria + estoque parado,3008.7750000000005,45.0
458454,PLAFON MET/VID.      1XE27 URSO 0043,I - ILUMINACAO,Receita irrisoria + estoque parado,3026.8245,124.0
74486,ABRACAD.PLS ELET.      1 1/4 TMC  CZ,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,3046.4700000000003,2500.0
181901,CANECA CER.360ML        BR A08B-0802,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3049.515,157.0
354090,PANO AMER.PVC RET.BRILHO   VM 050105,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3052.6755,218.0
440673,COMODA 0.95X0.51 4G TEXAS     TR/GRG,O - MOVEIS,Receita irrisoria + estoque parado,3096.03,5.0
471268,XICARA CAFE PORC.100ML C/P     16174,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3177.9405,384.0
150815,PORTA-GUARDANAPO TALHERES      AC703,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3238.515,127.0
165978,JUNCAO ESGOTO DUPLA            100MM,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,3241.77,66.0
358060,PULS.CAMP.MOD.10A     SN4005NF LIGHT,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,3319.365,87.0
432464,XICARA CHA CER. 200ML C/P     102439,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3330.915,87.0
470253,PANO AMER.OVAL 30X45        VM 10612,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3372.537,281.0
170458,ESTOJO PLS NECESSAIRE 22X06 PT 13059,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3373.125,305.0
374203,COND.SPLIT  9000 EVAP.HWFI09      35,D - ELETROS,Receita irrisoria + estoque parado,3438.6450000000004,6.0
374202,COND.SPLIT  9000 COND.HWFE09      35,D - ELETROS,Receita irrisoria + estoque parado,3483.9,4.0
452129,SECADOR CAB. 2000W    SCN-50 BR M127,D - ELETROS,Receita irrisoria + estoque parado,3534.3,24.0
429504,PLACA 4X4 2+2PST.          LGP44 POP,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,3681.3,339.0
159342,PLUG FEMEA 2P   BR 10A        615803,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,3792.495,232.0
428016,AUTOMATICO NIVEL INF/SUP ULTRA   25A,M - MAQUINAS E MOTORES,Receita irrisoria + estoque parado,3814.440000000001,44.0
451970,RESERVATORIO MOP SPRAY SLIM  BT1812R,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,3868.704,86.0
544,PLACA 4X2 2PST.       618502 PLUS,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,3921.162,426.0
415166,CORPO PLS RALO LIN  GRELHA CZ   50CM,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,3961.965,98.0
452299,REFLETOR LED AL.10W          5523 BR,I - ILUMINACAO,Receita irrisoria + estoque parado,3965.535,123.0
223443,BA/CX CJ.INFANT. 3/6LT     08769  BR,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,4007.325,5.0
432455,PRATO RASO PORC.26X26CM BOSSA 102443,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4143.3,100.0
399746,MANG.PLS JG CRISTALFLEX JARD.VM  20M,J - JARDINAGEM,Receita irrisoria + estoque parado,4156.005,49.0
450691,COPO CERVEJA VID. 300ML         0370,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4163.019,341.0
437801,"CLIP PISO NIVELADOR 1,0MM SM   100UN",Q - BASICOS CONSTRUCAO,Receita irrisoria + estoque parado,4205.1345,252.0
432465,XICARA CAFE CER.75ML C/P  RS  102441,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4258.38,474.0
157385,VALV.LAVAT.CURTA BR              VP1,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,4264.365,526.0
6155,COLUNA SAVEIRO             0220 PR77,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,4287.780000000001,45.0
441145,TORNEIRA PIA COZ. HYDRAPLUS 1167  PT,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,4311.09,102.0
269039,CX.ACOPL UNIVER.CD00F DUA.VERDE MV60,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,4312.98,18.0
90240,TUBO COBR HIDR.CLAS.E 5M 35MM 3.36KG,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,4347.525,5.0
432568,GRAMPEADOR 15F MINI C/EXTRATOR EI001,T - ARTIGOS DE EPOCA,Receita irrisoria + estoque parado,4429.215,327.0
445422,GARFO FONDUE IX 06PC        2051/325,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4434.675,140.0
432436,PRATO SMES.CER.19CM CREAM     102387,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4471.11,208.0
471280,XICARA CAFE CER.90ML C/P 4PC   16493,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4472.895,101.0
455499,TINT.SPRAY LUMINOSO 400ML         LJ,S - TINTAS E QUIMICOS,Receita irrisoria + estoque parado,4482.87,186.0
439366,PRATO RASO CER.28CM         7514-101,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4515.945,134.0
421455,"REVEST.A 35X59 RVE35420       2,05M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,4535.3175,102.5
423091,PRATO BOLO VID.C/PE            95105,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4541.145,41.0
462151,FECH. AUXILIAR TETRA ROS23        CR,"G - PORTAS, JANELAS E FECHADURAS",Receita irrisoria + estoque parado,4544.61,52.0
465868,TOALHA RST HANNAH 48X80 RX      1334,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,4573.38,94.0
301243,RESIST.SPOT           5500W 250 M127,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,4590.075,105.0
416567,PINCEL COZINHA SILICONE 17CM AM 108C,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,4619.989500000001,647.0
454447,CAPA ALM.45X45 DIANA              VM,V - DECORACAO,Receita irrisoria + estoque parado,4808.895,201.0
440692,FRONHA AVULSA PERCAL  50X90 KING CAS,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,4869.6900000000005,122.0
423042,"CER.A 80X80 INFINITA BG BR P5 1,92M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,4943.8368,90.24
408313,"CER.A 20X20 UNO FOLD MATTE P2 1,18M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,5003.2059,44.84
460562,XICARA CAFE CRIST.70ML C/P      2773,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5016.69,242.0
415167,CORPO PLS RALO LIN  GRELHA CZ   70CM,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,5026.875,85.0
437274,PRATO FUND.CER.24CM SHANTI    040913,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5033.49,247.0
429506,PLACA 4X4 3+3PST.          LGP46 POP,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,5046.09,442.0
437667,PLACA 4X4 1+1PST.          LGP42 POP,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,5058.69,441.0
374554,CANECA PLS 350ML             RS D110,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5101.005,698.0
457905,GARRAFA AGUA VID.1.0L C/T      WATER,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5109.3,160.0
471918,XICARA CAFE CER.65ML C/P       20074,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5120.6995,600.0
338835,"PORCEL.A 60X60 ESM.PIETRA SAB.2,15M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,5122.199775000001,70.95
470162,GARFINHO PETISCO IX 06PC      210101,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5182.894499999999,270.0
426374,COND.SPLIT  9000 EVAP.HEFI09B  BR 87,D - ELETROS,Receita irrisoria + estoque parado,5187.525,7.0
428043,MESA LAT.0.60X0.67 MDF        PEROLA,O - MOVEIS,Receita irrisoria + estoque parado,5235.09,20.0
426288,"PORCEL.A 90X90ESM.HIGH L.N.INT1,61M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,5318.9892,57.96
471289,XICARA CAFE CER.65ML C/P       20090,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5320.7595,516.0
168090,"REVEST.A 30X90 ANTARTIDA RT   1,07M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,5341.5684,59.92
429486,TOM.MOD.TV                 LG060 POP,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,5357.205,299.0
279323,CANECA PLS 350ML             VM D110,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5398.68,759.0
