CODIGO,DESCRICAO,NIVEL_1,motivo,receita,qtd_vendida
464207,TOALHA BNH ATENAS            PT 1000,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,7532.280000000001,194.0
459654,FORMA CONCHA SILIC.21CM   MR   YH111,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7554.96,879.0
12901,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,7569.030000000001,18.0
462836,DISJ.UNIP.C DIN  06A       GII-C006A,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,7582.679999999999,691.0
431662,"PORCEL.A 60X60 EBR.MISSOURI GR2,15M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,7586.4642,144.05
467869,PISO FELPUDO  48X70          AM 1459,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,7618.485,213.0
421706,"REVEST.A 37X74 MP37090     RT 1,92M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,7620.48,115.2
438745,PORTA-TRAVESSEIRO PERCAL 200FIOS  AM,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,7637.175,255.0
371605,P.SABONETE PLS. 400ML     CZ PSB 725,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,7639.695000000001,121.0
468728,TABUA FRIOS 2PC QUEIJO      JGQJ-011,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7665.3885,248.0
438788,"REVEST.A 10X20 BRK20130       2,00M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,7697.340000000001,132.0
375159,PRATO RASO CER.26CM PIZZA AZ 6096802,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7720.765499999999,272.0
359948,REMOVEDOR LIMP.PORCELAN. 500ML 11060,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7764.434999999999,313.0
406960,PRATELEIRA P/QUADRO MDF 45CM 187  BR,O - MOVEIS,Receita irrisoria + estoque parado,7792.89,217.0
440828,ABRACAD.PLS ELET.       1/2  TMC  PT,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,7819.14,5880.0
464863,UTENSILIOS BANH.VID.2PC     PT 24448,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,7854.105,89.0
433280,GARFO MESA (AV) ELEMENTOS  BR 201111,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7872.427500000001,1615.0
92244,SUPORTE REFRIGER./FOGAO METAL 431020,D - ELETROS,Receita irrisoria + estoque parado,7884.66,168.0
381372,CUBA LOC.SOB/EMB.RED.36CM DIAM  BR01,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,7887.075,40.0
225465,CHAVE FEN. RELOJOEIRO JG06      9528,F - FERRAMENTAS,Receita irrisoria + estoque parado,7952.91,228.0
471287,XICARA CAFE CER.65ML C/P       90806,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,7964.88,882.0
471607,SABONET.BANC.CER.RED.       TC 19TRC,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,8037.855,179.0
