COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
1,471194,837.0,834.21,1.1427534246575344,732.4414715719063,"CER.A 68X68 CALLA HD       P4 2,79M2",C - PISOS E REVESTIMENTOS,Garanhuns,PE
8,471194,837.0,828.63,1.1351095890410958,737.3737373737374,"CER.A 68X68 CALLA HD       P4 2,79M2",C - PISOS E REVESTIMENTOS,Caruaru,PE
3,452576,835.2,1596.0,2.186301369863014,382.01503759398497,"PORCEL.A 90X90  ESM.MARM.CETIM2,40M2",C - PISOS E REVESTIMENTOS,Salvador,BA
2,464396,831.0,326.0,0.4465753424657534,1860.8282208588957,SACO LIXO 100L ROLO       PT/25 4886,N - INDUSTRIAL E NEGOCIOS,Recife,PE
2,440828,830.0,1370.0,1.8767123287671232,442.26277372262774,ABRACAD.PLS ELET.       1/2  TMC  PT,E - MATERIAIS ELETRICOS,Recife,PE
4,472147,826.0,938.0,1.284931506849315,642.8358208955224,TIGELA CER.500ML     GIARDINO 091196,B - UTILIDADES DOMESTICAS,Recife,PE
92,415530,825.6,50.4,0.06904109589041095,11958.09523809524,"PORCEL.A 90X90 ESM.CALAC. ORO 2,40M2",C - PISOS E REVESTIMENTOS,Cabo De Santo Agostinho,PE
2,472123,824.0,828.0,1.1342465753424658,726.4734299516908,PRATO FUND.CER.21CM           101171,B - UTILIDADES DOMESTICAS,Recife,PE
4,472203,820.0,1056.0,1.4465753424657535,566.8560606060606,CANECA CER.280ML           VD 075985,B - UTILIDADES DOMESTICAS,Recife,PE
6,468649,818.42,1230.34,1.6853972602739724,485.5947136563877,"CER.A 67X67 PETUNIA HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,Joao Pessoa,PB
2,464395,814.0,658.0,0.9013698630136986,903.0699088145897,SACO LIXO 50L ROLO        PT/50 4879,N - INDUSTRIAL E NEGOCIOS,Recife,PE
5,471189,813.0,1590.77,2.1791369863013696,373.0834752981261,"CER.A 67X67 NARCISO HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,Aracaju,SE
3,368185,810.12,1958.22,2.6824931506849317,302.0026350461133,"CER.A 46X46 PSI66110       P4 2,58M2",C - PISOS E REVESTIMENTOS,Salvador,BA
8,439683,809.0,2026.0,2.7753424657534245,291.49555774925966,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,Caruaru,PE
92,22271,800.0,0.0,0.0,inf,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,Cabo De Santo Agostinho,PE
8,104342,800.0,1900.0,2.6027397260273974,307.36842105263156,"CABO ANTICH.SUP.FLEX(R100M) 2,5MM BR",E - MATERIAIS ELETRICOS,Caruaru,PE
